Names,Dates,Locations,Tweets,Polarity,Sentiment
farmingtonpatch,2020-12-21 23:18:43,"farmington, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",1.0,very_positive
anpara4,2020-12-21 23:15:34,no where,"['i', 'cant', 'believe', 'i', 'missed', 'the', 'conjunction', 'bc', 'i', 'was', 'stuck', 'in', 'ducking', 'shoprite', 'for', '2', 'hours']",0.0,neutral
mdakito,2020-12-21 23:14:22,kagiso,"['mynsfas', 'do', 'the', 'same', 'for', 'unisa', 'please', 'we', 'tired', 'of', 'shoprite', 'checkers', 'you', 'even', 'afraid', 'to', 'go', 'to', 'take', 'youre', 'money', 'beca']",0.0,neutral
iam_eddiesmith,2020-12-21 23:13:37,studio ,"['ableka', 'all', 'females', 'here', 'be', 'the', 'second', 'one', 'saying', 'real', 'yen', 'yen', 'until', 'its', 'time', 'to', 'enter', 'keke', 'napep', 'or', 'korope', 'to', 'shoprite']",0.0,neutral
reverendlov,2020-12-21 23:13:15,north pole,"['wherermytacos', 'we', 'never', 'had', 'an', 'aldi', 'here', 'till', 'recently', 'we', 'only', 'had', 'shoprite', 'pathmark', 'acme', 'aampp', 'and', 'a', 'bunch', 'of', 's']",-0.6,very_negative
southngtnpatch,2020-12-21 23:06:44,"southington, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",0.0,neutral
vernonpatch,2020-12-21 23:06:44,"vernon, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",0.17,positive
whartfordpatch,2020-12-21 23:06:44,"west hartford, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",0.01,positive
manchstrctpatch,2020-12-21 23:06:44,"manchester, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",0.33,positive
swindsorpatch,2020-12-21 23:06:43,"south windsor, ct","['the', 'shoprite', 'supermarket', 'chain', 'monday', 'announced', 'a', 'partnership', 'with', 'federal', 'agencies', 'to', 'distribute', 'the', 'coronavirus', 'v']",0.0,neutral
